from,to,weight,type
s01,s02,20,similar
s01,s03,10,includes
s01,s04,10,includes
s01,s05,10,includes
s01,s06,10,includes
s01,s07,10,includes
s01,s08,10,includes
s01,s09,10,includes
s01,s10,10,includes
s01,s11,10,includes
s01,s12,5,cooperate
s01,s13,5,cooperate
s01,s14,5,cooperate
s01,s15,3,canuse
s01,s16,2,canuse
s01,s17,2,uses
s01,s18,4,uses
s01,s19,4,uses
s01,s20,4,uses
s01,s22,4,uses
s01,s24,2,canuse
s01,s30,4,uses
s02,s01,20,similar
s02,s03,10,includes
s02,s04,10,includes
s02,s05,10,includes
s02,s06,10,includes
s02,s07,10,includes
s02,s08,10,includes
s02,s09,10,includes
s02,s10,10,includes
s02,s11,10,includes
s02,s12,5,cooperate
s02,s13,5,cooperate
s02,s14,5,cooperate
s02,s15,3,canuse
s02,s16,2,canuse
s02,s17,2,uses
s02,s18,4,uses
s02,s19,4,uses
s02,s20,4,uses
s02,s22,4,uses
s02,s24,2,canuse
s02,s30,4,uses
s03,s05,5,canuse
s03,s06,10,uses
s03,s07,5,canuse
s03,s11,15,canuse
s03,s18,15,uses
s03,s19,15,uses
s03,s22,15,uses
s03,s30,5,canuse
s04,s11,15,canuse
s04,s12,2,canuse
s04,s13,2,canuse
s04,s18,10,canuse
s04,s30,5,canuse
s05,s08,10,canuse
s05,s09,10,canuse
s05,s10,10,canuse
s05,s11,15,uses
s05,s12,2,canuse
s05,s13,2,canuse
s05,s14,2,canuse
s05,s30,5,canuse
s06,s08,10,canuse
s06,s09,10,canuse
s06,s10,10,canuse
s06,s11,15,uses
s06,s12,2,canuse
s06,s13,2,canuse
s06,s14,2,canuse
s06,s30,5,canuse
s16,s28,5,similar
s18,s19,10,softwarelanguage
s18,s20,10,softwarelanguage
s18,s21,10,softwarelanguage
s18,s22,10,softwarelanguage
s18,s23,5,softwarelanguage
s19,s20,10,softwarelanguage
s19,s21,10,softwarelanguage
s19,s22,10,softwarelanguage
s19,s23,5,softwarelanguage
s20,s21,10,softwarelanguage
s20,s22,10,softwarelanguage
s20,s23,5,softwarelanguage
s21,s22,10,softwarelanguage
s21,s23,5,softwarelanguage
s22,s23,5,softwarelanguage
s24,s25,20,similar
s26,s24,10,canuse
s26,s25,10,canuse
s26,s27,15,uses
s26,s28,15,uses
s26,s29,20,uses
s29,s30,25,uses
